provider,category,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Developer Tools,gcp_Cloud_Build,false,cloud,terminal,gcp_Cloud_Build,icons/GCP Icons/Products and services/Developer Tools/Cloud Build.svg,,
Azure,Management + Governance,az_Solutions,false,cloud,terminal,az_Solutions,icons/Azure_Public_Service_Icons/Management + Governance/00021-icon-service-Solutions.svg,,
Azure,Management + Governance,az_Automation_Accounts,false,cloud,terminal,az_Automation_Accounts,icons/Azure_Public_Service_Icons/Management + Governance/00022-icon-service-Automation-Accounts.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Code_for_IntelliJ,false,cloud,terminal,gcp_Cloud_Code_for_IntelliJ,icons/GCP Icons/Products and services/Developer Tools/Cloud Code for IntelliJ.svg,,
Azure,Management + Governance,az_Network_Watcher,false,cloud,terminal,az_Network_Watcher,icons/Azure_Public_Service_Icons/Management + Governance/00023-icon-service-Network-Watcher.svg,,
Azure,Management + Governance,az_Operation_Log_(Classic),false,cloud,terminal,az_Operation_Log_(Classic),icons/Azure_Public_Service_Icons/Management + Governance/00024-icon-service-Operation-Log-(Classic).svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Code,false,cloud,terminal,gcp_Cloud_Code,icons/GCP Icons/Products and services/Developer Tools/Cloud Code.svg,,
Azure,Management + Governance,az_Service_Providers,false,cloud,terminal,az_Service_Providers,icons/Azure_Public_Service_Icons/Management + Governance/00025-icon-service-Service-Providers.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Scheduler,false,cloud,terminal,gcp_Cloud_Scheduler,icons/GCP Icons/Products and services/Developer Tools/Cloud Scheduler.svg,,
Azure,Management + Governance,az_Education,false,cloud,terminal,az_Education,icons/Azure_Public_Service_Icons/Management + Governance/00026-icon-service-Education.svg,,
Azure,Management + Governance,az_Azure_Lighthouse,false,cloud,terminal,az_Azure_Lighthouse,icons/Azure_Public_Service_Icons/Management + Governance/00471-icon-service-Azure-Lighthouse.svg,,
